Manufacturer,Weight,MPG,ford,x,y,s,toyota,x,y,s,bmw,x,y,s,honda,x,y,s,mercedes,x,y,s
ford,4638,14,,4657,14,232850,,2900,25.4,145000,,,,,,,,,,,,
ford,3158,15,,3169,13,158450,,2245,34,112250,,,,,,,,,,,,
ford,4657,14,,2639,23,131950,,2665,32,133250,,,,,,,,,,,,
ford,3169,13,,2984,18,149200,,,,,,,,,,,,,,,,
ford,2639,23,,4215,14.5,210750,,,,,,,,,,,,,,,,
ford,2984,18,,3012,24,150600,,,,,,,,,,,,,,,,
ford,4215,14.5,,3574,18,178700,,,,,,,,,,,,,,,,
ford,3012,24,,2565,26.5,128250,,,,,,,,,,,,,,,,
ford,3574,18,,3870,13,193500,,,,,,,,,,,,,,,,
ford,2565,26.5,,3525,18.5,176250,,,,,,,,,,,,,,,,
ford,3870,13,,4335,16,216750,,,,,,,,,,,,,,,,
ford,3525,18.5,,2755,25.5,137750,,,,,,,,,,,,,,,,
ford,4335,16,,1800,36.1,90000,,,,,,,,,,,,,,,,
ford,2755,25.5,,2965,20.2,148250,,,,,,,,,,,,,,,,
ford,1800,36.1,,2720,25.1,136000,,,,,,,,,,,,,,,,
ford,2965,20.2,,3205,18.1,160250,,,,,,,,,,,,,,,,
ford,2720,25.1,,2890,22.3,144500,,,,,,,,,,,,,,,,
ford,3205,18.1,,3725,17.6,186250,,,,,,,,,,,,,,,,
ford,2890,22.3,,4054,15.5,202700,,,,,,,,,,,,,,,,
ford,3725,17.6,,2870,26.4,143500,,,,,,,,,,,,,,,,
ford,4054,15.5,,2905,23.6,145250,,,,,,,,,,,,,,,,
ford,2870,26.4,,2045,34.4,102250,,,,,,,,,,,,,,,,
ford,2905,23.6,,2380,29.9,119000,,,,,,,,,,,,,,,,
ford,2045,34.4,,3060,20.2,153000,,,,,,,,,,,,,,,,
ford,2380,29.9,,2865,24,143250,,,,,,,,,,,,,,,,
ford,3060,20.2,,2835,22,141750,,,,,,,,,,,,,,,,
ford,2865,24,,2790,27,139500,,,,,,,,,,,,,,,,
ford,2835,22,,2625,28,131250,,,,,,,,,,,,,,,,
ford,2790,27,,,,,,,,,,,,,,,,,,,,
ford,2625,28,,,,,,,,,,,,,,,,,,,,
honda,2489,24,,,,,,,,,,,,,,,,,,,,
honda,1795,33,,,,,,,,,,,,,,,,,,,,
honda,1795,33,,,,,,,,,,,,,,,,,,,,
honda,2045,31.5,,,,,,,,,,,,,,,,,,,,
honda,1800,36.1,,,,,,,,,,,,,,,,,,,,
honda,2135,29.5,,,,,,,,,,,,,,,,,,,,
honda,1850,44.6,,,,,,,,,,,,,,,,,,,,
honda,2290,32.4,,,,,,,,,,,,,,,,,,,,
honda,1760,35.1,,,,,,,,,,,,,,,,,,,,
honda,2210,33.7,,,,,,,,,,,,,,,,,,,,
honda,2205,36,,,,,,,,,,,,,,,,,,,,
honda,1965,38,,,,,,,,,,,,,,,,,,,,
honda,1965,32,,,,,,,,,,,,,,,,,,,,
mercedes,3820,16.5,,,,,,,,,,,,,,,,,,,,
mercedes,3530,25.4,,,,,,,,,,,,,,,,,,,,
mercedes,3250,30,,,,,,,,,,,,,,,,,,,,
toyota,2372,24,,,,,,,,,,,,,,,,,,,,
toyota,2228,25,,,,,,,,,,,,,,,,,,,,
toyota,1773,31,,,,,,,,,,,,,,,,,,,,
toyota,2278,24,,,,,,,,,,,,,,,,,,,,
toyota,2506,23,,,,,,,,,,,,,,,,,,,,
toyota,2100,27,,,,,,,,,,,,,,,,,,,,
toyota,2279,20,,,,,,,,,,,,,,,,,,,,
toyota,2807,20,,,,,,,,,,,,,,,,,,,,
toyota,1836,32,,,,,,,,,,,,,,,,,,,,
toyota,1649,31,,,,,,,,,,,,,,,,,,,,
toyota,2171,29,,,,,,,,,,,,,,,,,,,,
toyota,2702,24,,,,,,,,,,,,,,,,,,,,
toyota,2155,28,,,,,,,,,,,,,,,,,,,,
toyota,2930,19,,,,,,,,,,,,,,,,,,,,
toyota,2265,26,,,,,,,,,,,,,,,,,,,,
toyota,2560,27.5,,,,,,,,,,,,,,,,,,,,
toyota,2515,21.1,,,,,,,,,,,,,,,,,,,,
toyota,1968,38.1,,,,,,,,,,,,,,,,,,,,
toyota,2711,29.8,,,,,,,,,,,,,,,,,,,,
toyota,2265,32.2,,,,,,,,,,,,,,,,,,,,
toyota,1755,39.1,,,,,,,,,,,,,,,,,,,,
toyota,2050,37.7,,,,,,,,,,,,,,,,,,,,
toyota,2350,32.4,,,,,,,,,,,,,,,,,,,,
toyota,2900,25.4,,,,,,,,,,,,,,,,,,,,
toyota,2245,34,,,,,,,,,,,,,,,,,,,,
toyota,2665,32,,,,,,,,,,,,,,,,,,,,
